title,buyer_name,publication_date,publication_number,country,category,priority_bucket,cpv_code,url,source,raw_text
"Construction d'un centre d'incendie et de secours, siège de compagnie à Mamers",SDIS de la Sarthe,2026-03-15,26-26545,France,COMPETITIONS,CORE,71222000,https://www.boamp.fr/pages/avis/?q=idweb:26-26545,BOAMP,"Construction d'un centre d'incendie et de secours, siège de compagnie à Mamers | Maîtrise d'oeuvre | APPEL_OFFRE | SERVICES | 71222000 | nature APPEL_OFFRE | type SERVICES | CPV archi 71222000 | + fort: maitrise d oeuvre | + fort: architecte | + fort: architecture | + moyen: etude | 72 | https://www.boamp.fr/pages/avis/?q=idweb:26-26545"
Missions de Maîtrise d'oeuvre  pour l'aménagement des espaces publics - zone des Quatre Vents à Chantepie,MAIRIE DE CHANTEPIE,2026-03-14,26-25945,France,ARCHITECTURE_BUILDING,CORE,71240000 | 71400000,https://www.boamp.fr/pages/avis/?q=idweb:26-25945,BOAMP,Missions de Maîtrise d'oeuvre  pour l'aménagement des espaces publics - zone des Quatre Vents à Chantepie | Maîtrise d'oeuvre | APPEL_OFFRE | SERVICES | 71240000 | 71400000 | nature APPEL_OFFRE | type SERVICES | CPV archi 71240000 | CPV archi 71400000 | + fort: maitrise d oeuvre | + moyen: amenagement | + moyen: paysage | 35 | https://www.boamp.fr/pages/avis/?q=idweb:26-25945
Maitrise d'oeuvre du projet de réhabilitation de deux bâtiments de l'ancienne papeterie Jeand'Heurs à L'Isle en Rigault (55) pour l'implantation d'un habitat partagé pour Séniors,CC des Portes De Meuse,2026-03-12,26-24710,France,ARCHITECTURE_BUILDING,CORE,71200000 | 71221000,https://www.boamp.fr/pages/avis/?q=idweb:26-24710,BOAMP,Maitrise d'oeuvre du projet de réhabilitation de deux bâtiments de l'ancienne papeterie Jeand'Heurs à L'Isle en Rigault (55) pour l'implantation d'un habitat partagé pour Séniors | Etude | APPEL_OFFRE | SERVICES | 71200000 | 71221000 | nature APPEL_OFFRE | type SERVICES | CPV archi 71200000 | CPV archi 71221000 | + fort: maitrise d oeuvre | + moyen: rehabilitation | + moyen: etude | 55 | 54 | 51 | 52 | https://www.boamp.fr/pages/avis/?q=idweb:26-24710
Maîtrise d’oeuvre des travaux de construction d’une caserne de gendarmerie à Bernaville (80),CCTNP,2026-03-12,26-24711,France,ARCHITECTURE_BUILDING,CORE,71000000 | 71220000,https://www.boamp.fr/pages/avis/?q=idweb:26-24711,BOAMP,Maîtrise d’oeuvre des travaux de construction d’une caserne de gendarmerie à Bernaville (80) | Ingénierie | APPEL_OFFRE | SERVICES | 71000000 | 71220000 | nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | CPV archi 71220000 | + fort: maitrise d oeuvre | + moyen: ingenierie | 80 | https://www.boamp.fr/pages/avis/?q=idweb:26-24711
MISSION DE MAÎTRISE D'OEUVRE POUR LA RÉHABILITATION THERMIQUE DE L'ÉCOLE ÉLÉMENTAIRE PAUL BERT,Mairie de Lys Lez Lannoy,2026-03-17,26-27437,France,ARCHITECTURE_BUILDING,CORE,71000000,https://www.boamp.fr/pages/avis/?q=idweb:26-27437,BOAMP,MISSION DE MAÎTRISE D'OEUVRE POUR LA RÉHABILITATION THERMIQUE DE L'ÉCOLE ÉLÉMENTAIRE PAUL BERT | Equipement thermique | APPEL_OFFRE | SERVICES | 71000000 | nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | + fort: maitrise d oeuvre | + fort: mission de maitrise d oeuvre | + moyen: rehabilitation | + moyen: etude | 59 | https://www.boamp.fr/pages/avis/?q=idweb:26-27437
Accord cadre pour la réalisation de missions de maîtrise d'oeuvre et études préliminaires relatives à des opérations d'aménagements routiers et urbains,Ville d'Ajaccio,2026-03-12,26-24679,France,ARCHITECTURE_BUILDING,CORE,71241000 | 71300000,https://www.boamp.fr/pages/avis/?q=idweb:26-24679,BOAMP,Accord cadre pour la réalisation de missions de maîtrise d'oeuvre et études préliminaires relatives à des opérations d'aménagements routiers et urbains | Etude | Maîtrise d'oeuvre | Ingénierie | APPEL_OFFRE | SERVICES | 71241000 | 71300000 | nature APPEL_OFFRE | type SERVICES | CPV archi 71241000 | CPV secondaire 71300000 | + fort: maitrise d oeuvre | + moyen: amenagement | + moyen: etude | + moyen: ingenierie | + moyen: amenagement urbain | 20A | https://www.boamp.fr/pages/avis/?q=idweb:26-24679
Maîtrise d'oeuvre relative à la rénovation et l'amélioration de la halle à marée du Port de Royan,Conseil départemental de la charente-maritime,2026-03-12,26-24717,France,ARCHITECTURE_BUILDING,CORE,71200000,https://www.boamp.fr/pages/avis/?q=idweb:26-24717,BOAMP,Maîtrise d'oeuvre relative à la rénovation et l'amélioration de la halle à marée du Port de Royan | Prestations de services | APPEL_OFFRE | SERVICES | 71200000 | nature APPEL_OFFRE | type SERVICES | CPV archi 71200000 | + fort: maitrise d oeuvre | + fort: architecte | + moyen: rehabilitation | + moyen: amenagement | + moyen: etude | 17 | https://www.boamp.fr/pages/avis/?q=idweb:26-24717
Marché de maitrise d'oeuvre pour la réhabilitation du bâtiment Jean Roget  à la Tronche (38),"Pouvoir adjudicateur : UNIVERSITE GRENOBLE ALPES,
1 180 Avenue Centrale
38400 SAINT MARTIN D'HERES
Mandataire agissant au nom et pour le compte du pouvoir adjudicateur :
SAEM TERRITOIRES 38,
Représenté par son Directeur Général Délégué.",2026-03-12,26-24689,France,ARCHITECTURE_BUILDING,CORE,71000000,https://www.boamp.fr/pages/avis/?q=idweb:26-24689,BOAMP,Marché de maitrise d'oeuvre pour la réhabilitation du bâtiment Jean Roget  à la Tronche (38) | Maîtrise d'oeuvre | APPEL_OFFRE | SERVICES | 71000000 | nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | + fort: maitrise d oeuvre | + fort: architecte | + moyen: rehabilitation | + moyen: etude | 38 | https://www.boamp.fr/pages/avis/?q=idweb:26-24689
26DTP032 - Mission de maîtrise d'oeuvre dans le cadre de l'aménagement d'une ZAE et d'une déchèterie à la Saline,Communauté d'Agglomération Territoire de la Côte Ouest (974),2026-03-11,26-24458,France,ARCHITECTURE_BUILDING,CORE,71000000,https://www.boamp.fr/pages/avis/?q=idweb:26-24458,BOAMP,26DTP032 - Mission de maîtrise d'oeuvre dans le cadre de l'aménagement d'une ZAE et d'une déchèterie à la Saline | Etude | APPEL_OFFRE | SERVICES | 71000000 | nature APPEL_OFFRE | type SERVICES | CPV fort 71000000 | + fort: maitrise d oeuvre | + fort: mission de maitrise d oeuvre | + moyen: amenagement | + moyen: etude | 974 | https://www.boamp.fr/pages/avis/?q=idweb:26-24458
25V1158-Assistance à maitrise d'ouvrage bâtiment,VILLE DE NICE,2026-03-10,26-24039,France,ARCHITECTURE_BUILDING,CORE,71241000,https://www.boamp.fr/pages/avis/?q=idweb:26-24039,BOAMP,25V1158-Assistance à maitrise d'ouvrage bâtiment | Prestations de services | Etude | APPEL_OFFRE | SERVICES | 71241000 | nature APPEL_OFFRE | type SERVICES | CPV archi 71241000 | + fort: assistance a maitrise d ouvrage | + fort:  amo  | + moyen: rehabilitation | + moyen: amenagement | + moyen: etude | 6 | https://www.boamp.fr/pages/avis/?q=idweb:26-24039
